1703617845.655774 server started (337876): version 3.3a, socket /tmp/tmux-1000/default, protocol 8
1703617845.655803 on Linux 6.6.8-arch1-1 #1 SMP PREEMPT_DYNAMIC Thu, 21 Dec 2023 19:01:01 +0000
1703617845.655811 using libevent 2.1.12-stable (poll); ncurses 6.4
1703617845.655894 input_key_build: 0x10e003 (PasteStart) is \033[200~
1703617845.655899 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1703617845.655903 input_key_build: 0x10e195 (F1) is \033OP
1703617845.655906 input_key_build: 0x10e196 (F2) is \033OQ
1703617845.655909 input_key_build: 0x10e197 (F3) is \033OR
1703617845.655912 input_key_build: 0x10e198 (F4) is \033OS
1703617845.655915 input_key_build: 0x10e199 (F5) is \033[15~
1703617845.655918 input_key_build: 0x10e19a (F6) is \033[17~
1703617845.655921 input_key_build: 0x10e19b (F7) is \033[18~
1703617845.655924 input_key_build: 0x10e19c (F8) is \033[19~
1703617845.655930 input_key_build: 0x10e19d (F9) is \033[20~
1703617845.655934 input_key_build: 0x10e19e (F10) is \033[21~
1703617845.655937 input_key_build: 0x10e19f (F11) is \033[23~
1703617845.655940 input_key_build: 0x10e1a0 (F12) is \033[24~
1703617845.655943 input_key_build: 0x10e1a1 (IC) is \033[2~
1703617845.655946 input_key_build: 0x10e1a2 (DC) is \033[3~
1703617845.655949 input_key_build: 0x10e1a3 (Home) is \033[1~
1703617845.655952 input_key_build: 0x10e1a4 (End) is \033[4~
1703617845.655955 input_key_build: 0x10e1a5 (NPage) is \033[6~
1703617845.655958 input_key_build: 0x10e1a6 (PPage) is \033[5~
1703617845.655961 input_key_build: 0x10e1a7 (BTab) is \033[Z
1703617845.655964 input_key_build: 0x10e1a8 (Up) is \033[A
1703617845.655967 input_key_build: 0x10e1a9 (Down) is \033[B
1703617845.655970 input_key_build: 0x10e1aa (Left) is \033[D
1703617845.655973 input_key_build: 0x10e1ab (Right) is \033[C
1703617845.655976 input_key_build: 0x10e1ac (KP/) is /
1703617845.655980 input_key_build: 0x10e1ad (KP*) is *
1703617845.655983 input_key_build: 0x10e1ae (KP-) is -
1703617845.655986 input_key_build: 0x10e1af (KP7) is 7
1703617845.655988 input_key_build: 0x10e1b0 (KP8) is 8
1703617845.655991 input_key_build: 0x10e1b1 (KP9) is 9
1703617845.655994 input_key_build: 0x10e1b2 (KP+) is +
1703617845.655997 input_key_build: 0x10e1b3 (KP4) is 4
1703617845.656000 input_key_build: 0x10e1b4 (KP5) is 5
1703617845.656002 input_key_build: 0x10e1b5 (KP6) is 6
1703617845.656011 input_key_build: 0x10e1b6 (KP1) is 1
1703617845.656015 input_key_build: 0x10e1b7 (KP2) is 2
1703617845.656018 input_key_build: 0x10e1b8 (KP3) is 3
1703617845.656021 input_key_build: 0x10e1b9 (KPEnter) is \n
1703617845.656024 input_key_build: 0x10e1ba (KP0) is 0
1703617845.656027 input_key_build: 0x10e1bb (KP.) is .
1703617845.656030 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1703617845.656033 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1703617845.656036 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1703617845.656040 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1703617845.656043 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1703617845.656046 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1703617845.656049 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1703617845.656052 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1703617845.656055 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1703617845.656058 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
